Iter: 4 | conflict: 6 | TeacherConflict: 3 | RoomConflict: 3 | ToolConflict: 0 | ClassConflict: 0
Iter: 5 | conflict: 6 | TeacherConflict: 3 | RoomConflict: 3 | ToolConflict: 0 | ClassConflict: 0
Iter: 6 | conflict: 6 | TeacherConflict: 3 | RoomConflict: 3 | ToolConflict: 0 | ClassConflict: 0
Iter: 7 | conflict: 6 | TeacherConflict: 3 | RoomConflict: 3 | ToolConflict: 0 | ClassConflict: 0
Iter: 8 | conflict: 6 | TeacherConflict: 3 | RoomConflict: 3 | ToolConflict: 0 | ClassConflict: 0
Iter: 9 | conflict: 6 | TeacherConflict: 3 | RoomConflict: 3 | ToolConflict: 0 | ClassConflict: 0
Iter: 10 | conflict: 6 | TeacherConflict: 3 | RoomConflict: 3 | ToolConflict: 0 | ClassConflict: 0
Iter: 11 | conflict: 6 | TeacherConflict: 3 | RoomConflict: 3 | ToolConflict: 0 | ClassConflict: 0
Iter: 12 | conflict: 6 | TeacherConflict: 3 | RoomConflict: 3 | ToolConflict: 0 | ClassConflict: 0
Iter: 13 | conflict: 6 | TeacherConflict: 3 | RoomConflict: 3 | ToolConflict: 0 | ClassConflict: 0
Iter: 14 | conflict: 6 | TeacherConflict: 3 | RoomConflict: 3 | ToolConflict: 0 | ClassConflict: 0
Iter: 15 | conflict: 6 | TeacherConflict: 3 | RoomConflict: 3 | ToolConflict: 0 | ClassConflict: 0
Iter: 16 | conflict: 6 | TeacherConflict: 3 | RoomConflict: 3 | ToolConflict: 0 | ClassConflict: 0
Iter: 17 | conflict: 6 | TeacherConflict: 3 | RoomConflict: 3 | ToolConflict: 0 | ClassConflict: 0
Iter: 18 | conflict: 6 | TeacherConflict: 3 | RoomConflict: 3 | ToolConflict: 0 | ClassConflict: 0
Iter: 19 | conflict: 6 | TeacherConflict: 3 | RoomConflict: 3 | ToolConflict: 0 | ClassConflict: 0
Iter: 20 | conflict: 6 | TeacherConflict: 3 | RoomConflict: 3 | ToolConflict: 0 | ClassConflict: 0
Iter: 21 | conflict: 6 | TeacherConflict: 3 | RoomConflict: 3 | ToolConflict: 0 | ClassConflict: 0
Iter: 22 | conflict: 6 | TeacherConflict: 3 | RoomConflict: 3 | ToolConflict: 0 | ClassConflict: 0
Iter: 23 | conflict: 6 | TeacherConflict: 3 | RoomConflict: 3 | ToolConflict: 0 | ClassConflict: 0
Iter: 24 | conflict: 6 | TeacherConflict: 3 | RoomConflict: 3 | ToolConflict: 0 | ClassConflict: 0
Iter: 25 | conflict: 6 | TeacherConflict: 3 | RoomConflict: 3 | ToolConflict: 0 | ClassConflict: 0
Iter: 26 | conflict: 6 | TeacherConflict: 3 | RoomConflict: 3 | ToolConflict: 0 | ClassConflict: 0
Iter: 27 | conflict: 6 | TeacherConflict: 3 | RoomConflict: 3 | ToolConflict: 0 | ClassConflict: 0
Iter: 28 | conflict: 6 | TeacherConflict: 3 | RoomConflict: 3 | ToolConflict: 0 | ClassConflict: 0
Iter: 29 | conflict: 6 | TeacherConflict: 3 | RoomConflict: 3 | ToolConflict: 0 | ClassConflict: 0
Iter: 30 | conflict: 6 | TeacherConflict: 3 | RoomConflict: 3 | ToolConflict: 0 | ClassConflict: 0
Iter: 31 | conflict: 6 | TeacherConflict: 3 | RoomConflict: 3 | ToolConflict: 0 | ClassConflict: 0
Iter: 32 | conflict: 6 | TeacherConflict: 3 | RoomConflict: 3 | ToolConflict: 0 | ClassConflict: 0
Iter: 33 | conflict: 6 | TeacherConflict: 3 | RoomConflict: 3 | ToolConflict: 0 | ClassConflict: 0
Iter: 34 | conflict: 6 | TeacherConflict: 3 | RoomConflict: 3 | ToolConflict: 0 | ClassConflict: 0
Iter: 35 | conflict: 6 | TeacherConflict: 3 | RoomConflict: 3 | ToolConflict: 0 | ClassConflict: 0
